epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.8674,0.2642,0.2470,1.6806,0.3726,0.3891,1.7216,0.3269,0.3467,1.6395,0.4183,0.4315
2,1.4821,0.4389,0.4331,1.3032,0.5337,0.5417,1.4089,0.4615,0.4673,1.1975,0.6058,0.6161
3,1.1606,0.5735,0.5849,1.2927,0.4423,0.5074,1.4324,0.3606,0.4152,1.1529,0.5240,0.5997
4,0.9954,0.6154,0.6354,1.0475,0.6058,0.6057,1.2057,0.5625,0.5327,0.8893,0.6490,0.6786
5,0.8741,0.6568,0.6781,1.0716,0.6178,0.6049,1.2659,0.5721,0.5372,0.8773,0.6635,0.6726
6,0.7671,0.6765,0.7028,1.0079,0.6538,0.6265,1.2861,0.5721,0.5238,0.7298,0.7356,0.7292
7,0.7197,0.7037,0.7249,0.9641,0.6803,0.6696,1.1886,0.6346,0.5908,0.7397,0.7260,0.7485
8,0.6550,0.7247,0.7489,0.9580,0.6442,0.6466,1.1906,0.5962,0.5655,0.7254,0.6923,0.7277
9,0.6229,0.7414,0.7665,0.8833,0.7163,0.7128,1.1023,0.6827,0.6488,0.6642,0.7500,0.7768
10,0.5764,0.7673,0.7868,0.8424,0.6971,0.6897,1.0364,0.6587,0.6190,0.6484,0.7356,0.7604
11,0.5407,0.7840,0.8054,1.0640,0.6298,0.6347,1.3128,0.5913,0.5640,0.8151,0.6683,0.7054
12,0.5186,0.7914,0.8104,0.9383,0.6779,0.6793,1.1131,0.6731,0.6429,0.7635,0.6827,0.7158
13,0.4537,0.8284,0.8454,1.1008,0.6010,0.6146,1.2596,0.5769,0.5625,0.9420,0.6250,0.6667
14,0.4313,0.8284,0.8474,0.9165,0.6875,0.6823,1.1910,0.6587,0.6131,0.6420,0.7163,0.7515
15,0.3994,0.8451,0.8635,1.0182,0.6154,0.6332,1.1550,0.5913,0.5789,0.8815,0.6394,0.6875
16,0.3813,0.8475,0.8638,0.9251,0.6779,0.6793,1.1683,0.6538,0.6220,0.6820,0.7019,0.7366
17,0.3662,0.8599,0.8728,0.9217,0.6851,0.6845,1.0985,0.6731,0.6384,0.7449,0.6971,0.7307
18,0.3313,0.8704,0.8861,0.9940,0.6442,0.6510,1.2235,0.6154,0.5952,0.7645,0.6731,0.7068
19,0.3257,0.8753,0.8902,0.9379,0.6562,0.6637,1.1249,0.6538,0.6295,0.7509,0.6587,0.6979
20,0.3128,0.8809,0.8952,0.9454,0.6250,0.6399,1.0204,0.6442,0.6250,0.8704,0.6058,0.6548
