epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.7574,0.3062,0.3169,1.4795,0.4567,0.4427,1.5717,0.4279,0.4048,1.3872,0.4856,0.4807
2,1.2200,0.5654,0.5944,0.9824,0.6370,0.6585,1.0454,0.6010,0.6042,0.9194,0.6731,0.7128
3,0.9280,0.6728,0.6893,0.8395,0.7139,0.7188,0.8936,0.7019,0.6801,0.7855,0.7260,0.7574
4,0.7372,0.7667,0.7814,0.8213,0.6875,0.7113,0.9409,0.6394,0.6414,0.7016,0.7356,0.7812
5,0.5827,0.8278,0.8411,0.7611,0.7356,0.7121,0.8514,0.7115,0.6652,0.6708,0.7596,0.7589
6,0.4932,0.8667,0.8787,0.6488,0.7476,0.7574,0.6834,0.7596,0.7470,0.6142,0.7356,0.7679
7,0.4095,0.9012,0.9096,0.7074,0.7404,0.7262,0.8257,0.7115,0.6696,0.5890,0.7692,0.7827
8,0.3528,0.9191,0.9262,0.6416,0.7596,0.7426,0.7339,0.7452,0.7009,0.5493,0.7740,0.7842
9,0.3044,0.9407,0.9472,0.5779,0.7861,0.7708,0.6069,0.8221,0.7798,0.5490,0.7500,0.7619
10,0.2602,0.9531,0.9589,0.5836,0.7788,0.7738,0.6481,0.7933,0.7619,0.5191,0.7644,0.7857
11,0.2177,0.9691,0.9731,0.5740,0.7788,0.7783,0.5711,0.7933,0.7753,0.5769,0.7644,0.7812
12,0.1942,0.9759,0.9793,0.6032,0.7548,0.7582,0.6459,0.7404,0.7217,0.5604,0.7692,0.7946
13,0.1668,0.9852,0.9875,0.5643,0.7837,0.7753,0.6014,0.7837,0.7515,0.5271,0.7837,0.7991
14,0.1508,0.9833,0.9856,0.6178,0.7524,0.7329,0.6118,0.7837,0.7426,0.6237,0.7212,0.7232
15,0.1311,0.9914,0.9931,0.5783,0.7788,0.7738,0.6024,0.7740,0.7470,0.5542,0.7837,0.8006
16,0.1199,0.9963,0.9971,0.5308,0.7861,0.7894,0.5317,0.8029,0.7887,0.5300,0.7692,0.7902
17,0.1061,0.9957,0.9962,0.6370,0.7668,0.7515,0.6649,0.7548,0.7158,0.6092,0.7788,0.7872
18,0.0983,0.9969,0.9971,0.6173,0.7788,0.7723,0.6550,0.7692,0.7426,0.5796,0.7885,0.8021
19,0.0904,0.9963,0.9969,0.5555,0.7861,0.7760,0.5589,0.7933,0.7574,0.5522,0.7788,0.7946
20,0.0799,0.9988,0.9988,0.5766,0.7885,0.7879,0.6091,0.7788,0.7604,0.5440,0.7981,0.8155
21,0.0728,0.9981,0.9987,0.6021,0.7764,0.7612,0.6441,0.7740,0.7292,0.5602,0.7788,0.7932
22,0.0685,1.0000,1.0000,0.5622,0.7812,0.7656,0.5998,0.7885,0.7470,0.5247,0.7740,0.7842
23,0.0622,1.0000,1.0000,0.5758,0.7933,0.7760,0.6105,0.7933,0.7470,0.5411,0.7933,0.8051
24,0.0561,1.0000,1.0000,0.5899,0.7837,0.7716,0.6124,0.7837,0.7426,0.5674,0.7837,0.8006
25,0.0540,1.0000,1.0000,0.5404,0.8005,0.7924,0.5491,0.8125,0.7783,0.5317,0.7885,0.8065
