epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.9402,0.2321,0.2391,1.7660,0.3197,0.2403,1.7745,0.2837,0.2143,1.7573,0.3558,0.2664
2,1.7265,0.3858,0.3802,1.5509,0.4495,0.4554,1.5585,0.4087,0.3958,1.5429,0.4904,0.5149
3,1.5228,0.4951,0.4941,1.3709,0.4351,0.5156,1.3834,0.4760,0.5551,1.3538,0.3942,0.4762
4,1.4086,0.5444,0.5442,1.3054,0.4712,0.5112,1.2661,0.4712,0.5104,1.3388,0.4712,0.5119
5,1.2707,0.5660,0.5889,1.1736,0.5192,0.5692,1.2215,0.4760,0.5208,1.1252,0.5625,0.6176
6,1.1687,0.6414,0.6602,1.1061,0.5505,0.6317,1.1650,0.5625,0.6235,1.0461,0.5385,0.6399
7,1.0683,0.7049,0.7182,1.0832,0.5721,0.5781,1.1269,0.5721,0.5670,1.0386,0.5721,0.5893
8,1.1498,0.6401,0.6673,1.0181,0.6226,0.6443,1.0399,0.6058,0.6220,0.9816,0.6394,0.6667
9,0.9107,0.7710,0.7849,0.9356,0.7091,0.7165,1.0056,0.7019,0.6949,0.8492,0.7163,0.7381
10,0.7613,0.8309,0.8384,0.8708,0.7115,0.7173,0.9202,0.7067,0.6994,0.8102,0.7163,0.7351
11,0.7507,0.8389,0.8494,0.8095,0.7067,0.7195,0.8755,0.6875,0.6890,0.7376,0.7260,0.7500
12,0.6791,0.8537,0.8650,0.7990,0.7236,0.7485,0.8846,0.7019,0.7247,0.7106,0.7452,0.7723
13,0.6369,0.8519,0.8670,0.8124,0.6562,0.6838,0.8720,0.6154,0.6443,0.7445,0.6971,0.7232
14,0.5546,0.9019,0.9084,0.7665,0.6947,0.7098,0.7885,0.7115,0.7232,0.7391,0.6779,0.6964
15,0.5471,0.9074,0.9132,0.7836,0.7115,0.7292,0.8298,0.7115,0.7217,0.7367,0.7115,0.7366
16,0.4767,0.9253,0.9302,0.7442,0.7404,0.7537,0.8067,0.7260,0.7351,0.6670,0.7548,0.7723
17,0.4791,0.9185,0.9225,0.7515,0.7115,0.7292,0.8024,0.6971,0.7113,0.6878,0.7260,0.7470
18,0.4365,0.9389,0.9429,0.7285,0.7091,0.7225,0.7651,0.7212,0.7307,0.6855,0.6971,0.7143
19,0.4044,0.9512,0.9550,0.7111,0.7163,0.7336,0.7674,0.7115,0.7217,0.6514,0.7212,0.7455
20,0.3826,0.9593,0.9637,0.6818,0.7524,0.7626,0.7429,0.7548,0.7574,0.6137,0.7500,0.7679
21,0.3618,0.9654,0.9678,0.6751,0.7308,0.7455,0.7416,0.7308,0.7396,0.6042,0.7308,0.7515
22,0.3294,0.9704,0.9726,0.6912,0.7212,0.7396,0.7450,0.6971,0.7143,0.6283,0.7452,0.7649
23,0.3176,0.9747,0.9764,0.7041,0.7380,0.7485,0.7476,0.7260,0.7307,0.6519,0.7500,0.7664
24,0.2977,0.9815,0.9839,0.6865,0.7356,0.7455,0.7393,0.7308,0.7336,0.6288,0.7404,0.7574
25,0.2757,0.9840,0.9854,0.6673,0.7380,0.7552,0.7377,0.7067,0.7217,0.5879,0.7692,0.7887
26,0.2545,0.9877,0.9889,0.6583,0.7380,0.7507,0.7147,0.7356,0.7411,0.5960,0.7404,0.7604
27,0.2495,0.9895,0.9904,0.6714,0.7380,0.7515,0.7481,0.7163,0.7232,0.5843,0.7596,0.7798
28,0.2380,0.9864,0.9892,0.6279,0.7452,0.7649,0.6930,0.7163,0.7321,0.5558,0.7740,0.7976
29,0.2268,0.9901,0.9914,0.6605,0.7308,0.7485,0.7242,0.6971,0.7128,0.5849,0.7644,0.7842
30,0.2156,0.9938,0.9944,0.6480,0.7452,0.7589,0.7245,0.7404,0.7470,0.5626,0.7500,0.7708
31,0.2119,0.9920,0.9927,0.6495,0.7452,0.7597,0.7248,0.7260,0.7351,0.5611,0.7644,0.7842
32,0.1985,0.9914,0.9921,0.6468,0.7260,0.7463,0.7112,0.7067,0.7217,0.5735,0.7452,0.7708
33,0.1921,0.9926,0.9933,0.6397,0.7284,0.7440,0.7052,0.7115,0.7232,0.5655,0.7452,0.7649
34,0.1877,0.9944,0.9954,0.6195,0.7452,0.7626,0.6919,0.7115,0.7277,0.5394,0.7788,0.7976
35,0.1770,0.9932,0.9939,0.6253,0.7452,0.7619,0.6821,0.7308,0.7396,0.5612,0.7596,0.7842
36,0.1731,0.9963,0.9967,0.6659,0.7260,0.7411,0.7348,0.6971,0.7098,0.5861,0.7548,0.7723
37,0.1768,0.9951,0.9962,0.6461,0.7476,0.7634,0.6873,0.7308,0.7411,0.5967,0.7644,0.7857
38,0.1638,0.9975,0.9977,0.6567,0.7284,0.7433,0.7101,0.7067,0.7158,0.5913,0.7500,0.7708
39,0.1598,0.9969,0.9973,0.6214,0.7500,0.7679,0.6770,0.7308,0.7426,0.5592,0.7692,0.7932
40,0.1535,0.9994,0.9994,0.6582,0.7380,0.7545,0.7114,0.7163,0.7262,0.5937,0.7596,0.7827
41,0.1467,0.9975,0.9977,0.6399,0.7548,0.7716,0.6861,0.7404,0.7515,0.5857,0.7692,0.7917
42,0.1428,0.9981,0.9983,0.6361,0.7380,0.7515,0.6944,0.7212,0.7292,0.5700,0.7548,0.7738
43,0.1424,0.9988,0.9988,0.6369,0.7548,0.7701,0.6989,0.7356,0.7440,0.5663,0.7740,0.7961
44,0.1354,0.9994,0.9994,0.6359,0.7500,0.7708,0.7004,0.7308,0.7485,0.5617,0.7692,0.7932
