epoch,train_loss,train_acc,train_recall,val_loss,val_acc,val_recall,male_loss,male_acc,male_recall,female_loss,female_acc,female_recall
1,1.9856,0.1840,0.1987,1.7777,0.2139,0.2478,1.7806,0.2163,0.2500,1.7747,0.2115,0.2455
2,1.7393,0.3395,0.3656,1.5680,0.3077,0.3423,1.5833,0.2788,0.3065,1.5526,0.3365,0.3780
3,1.5039,0.4988,0.5143,1.3149,0.5096,0.5320,1.3199,0.5577,0.5670,1.3085,0.4615,0.4970
4,1.3064,0.5500,0.5840,1.2139,0.6010,0.6168,1.2695,0.5481,0.5521,1.1583,0.6538,0.6815
5,1.4755,0.5543,0.5658,1.1719,0.5625,0.6049,1.2025,0.5577,0.5938,1.1412,0.5673,0.6161
6,1.1893,0.6321,0.6430,1.0843,0.5986,0.6131,1.1264,0.5673,0.5744,1.0420,0.6298,0.6518
7,1.0242,0.7259,0.7384,0.9772,0.6490,0.6808,1.0052,0.6635,0.6935,0.9490,0.6346,0.6682
8,0.9189,0.7512,0.7654,1.0299,0.6154,0.6198,1.0521,0.5962,0.6116,0.9917,0.6346,0.6280
9,0.8850,0.7525,0.7716,0.9581,0.6394,0.6525,0.9893,0.6154,0.6220,0.9250,0.6635,0.6830
10,0.8251,0.7907,0.8096,0.9130,0.6154,0.6540,0.9784,0.5817,0.6146,0.8459,0.6490,0.6935
11,0.7884,0.8043,0.8201,0.8891,0.6755,0.6868,0.9465,0.6442,0.6503,0.8271,0.7067,0.7232
12,0.6656,0.8531,0.8609,0.8031,0.7139,0.7269,0.8564,0.6875,0.6979,0.7461,0.7404,0.7560
13,0.6380,0.8784,0.8837,0.8551,0.6899,0.6912,0.9067,0.6490,0.6607,0.7889,0.7308,0.7217
14,0.6277,0.8765,0.8879,0.8035,0.7163,0.7254,0.8368,0.7067,0.7128,0.7679,0.7260,0.7381
15,0.5268,0.9136,0.9192,0.7421,0.7332,0.7470,0.8287,0.6971,0.7098,0.6502,0.7692,0.7842
16,0.5269,0.9049,0.9150,0.7896,0.7019,0.7150,0.8145,0.6827,0.7009,0.7600,0.7212,0.7292
17,0.4694,0.9142,0.9234,0.7450,0.7139,0.7329,0.7802,0.7067,0.7292,0.7069,0.7212,0.7366
18,0.4385,0.9222,0.9302,0.7133,0.7524,0.7604,0.7514,0.7452,0.7470,0.6728,0.7596,0.7738
19,0.4126,0.9438,0.9487,0.7197,0.7356,0.7411,0.7532,0.7260,0.7262,0.6811,0.7452,0.7560
20,0.4061,0.9389,0.9452,0.7194,0.7428,0.7522,0.7746,0.7260,0.7292,0.6615,0.7596,0.7753
21,0.3544,0.9537,0.9589,0.7053,0.7332,0.7440,0.7603,0.7067,0.7158,0.6444,0.7596,0.7723
22,0.3385,0.9580,0.9618,0.6847,0.7284,0.7418,0.7468,0.7067,0.7173,0.6186,0.7500,0.7664
23,0.3235,0.9568,0.9611,0.7184,0.7236,0.7321,0.7737,0.7019,0.7054,0.6554,0.7452,0.7589
24,0.3164,0.9636,0.9675,0.6987,0.7260,0.7388,0.7535,0.7019,0.7128,0.6397,0.7500,0.7649
25,0.2919,0.9685,0.9711,0.6987,0.7236,0.7388,0.7566,0.6827,0.6964,0.6371,0.7644,0.7812
26,0.2905,0.9685,0.9718,0.6749,0.7428,0.7552,0.7521,0.7115,0.7217,0.5952,0.7740,0.7887
27,0.2812,0.9710,0.9752,0.6595,0.7428,0.7626,0.7192,0.7163,0.7381,0.5969,0.7692,0.7872
28,0.2594,0.9778,0.9802,0.6491,0.7404,0.7574,0.7473,0.7115,0.7277,0.5492,0.7692,0.7872
29,0.2550,0.9802,0.9827,0.7676,0.7163,0.7269,0.8099,0.6779,0.6905,0.7163,0.7548,0.7634
30,0.2425,0.9846,0.9862,0.6799,0.7332,0.7493,0.7421,0.7019,0.7173,0.6137,0.7644,0.7812
31,0.2262,0.9889,0.9900,0.6575,0.7284,0.7403,0.7191,0.6971,0.7083,0.5926,0.7596,0.7723
32,0.2286,0.9846,0.9866,0.6919,0.7284,0.7374,0.7638,0.6923,0.6994,0.6134,0.7644,0.7753
33,0.2141,0.9864,0.9879,0.6716,0.7500,0.7582,0.7466,0.7212,0.7262,0.5918,0.7788,0.7902
34,0.2121,0.9877,0.9892,0.6931,0.7284,0.7388,0.7533,0.6923,0.7009,0.6268,0.7644,0.7768
35,0.1997,0.9901,0.9912,0.7153,0.7260,0.7396,0.7746,0.6875,0.6994,0.6505,0.7644,0.7798
36,0.1965,0.9914,0.9919,0.6698,0.7356,0.7478,0.7263,0.7019,0.7143,0.6079,0.7692,0.7812
37,0.1894,0.9883,0.9892,0.6580,0.7476,0.7582,0.7371,0.7115,0.7173,0.5766,0.7837,0.7991
38,0.1837,0.9914,0.9925,0.6449,0.7476,0.7626,0.7169,0.7163,0.7307,0.5709,0.7788,0.7946
39,0.1825,0.9938,0.9944,0.6922,0.7284,0.7418,0.7637,0.6875,0.6979,0.6167,0.7692,0.7857
40,0.1756,0.9951,0.9958,0.6757,0.7428,0.7560,0.7414,0.7163,0.7262,0.6070,0.7692,0.7857
41,0.1691,0.9957,0.9960,0.6585,0.7404,0.7537,0.7195,0.7163,0.7307,0.5934,0.7644,0.7768
42,0.1630,0.9969,0.9971,0.6706,0.7332,0.7470,0.7274,0.7163,0.7307,0.6103,0.7500,0.7634
43,0.1624,0.9951,0.9956,0.6958,0.7356,0.7455,0.7564,0.7115,0.7143,0.6303,0.7596,0.7768
44,0.1551,0.9994,0.9994,0.6763,0.7332,0.7455,0.7435,0.7067,0.7143,0.6050,0.7596,0.7768
45,0.1550,0.9957,0.9964,0.7087,0.7284,0.7374,0.7637,0.7019,0.7068,0.6484,0.7548,0.7679
46,0.1484,0.9981,0.9983,0.6833,0.7356,0.7485,0.7317,0.7163,0.7292,0.6304,0.7548,0.7679
47,0.1509,0.9988,0.9988,0.7057,0.7332,0.7485,0.7715,0.7115,0.7247,0.6352,0.7548,0.7723
48,0.1447,0.9969,0.9971,0.6874,0.7284,0.7403,0.7463,0.6971,0.7039,0.6244,0.7596,0.7768
